Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac
2012,4,12,3,1,2012/12/3,WN,19393,WN,N510SW,497,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
2012,4,12,12,3,2012/12/12,DL,19790,DL,N321US,498,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,9,7,2012/12/9,US,20355,US,N621AW,500,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,4,Arizona,81
2012,4,12,2,7,2012/12/2,AS,19930,AS,N516AS,502,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,12,3,2012/12/12,AS,19930,AS,N624AS,503,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91
2012,4,12,11,2,2012/12/11,DL,19790,DL,N350NA,505,13433,1343302,33304,MOT,"Minot, ND",ND,38,North Dakota,66
2012,4,12,10,1,2012/12/10,DL,19790,DL,N330NW,507,12953,1295302,31703,LGA,"New York, NY",NY,36,New York,22
2012,4,12,7,5,2012/12/7,UA,19977,UA,N504UA,508,13930,1393002,30977,ORD,"Chicago, IL",IL,17,Illinois,41
2012,4,12,20,4,2012/12/20,AS,19930,AS,N626AS,509,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91
2012,4,12,26,3,2012/12/26,F9,20436,F9,N209FR,510,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93
2012,4,12,14,5,2012/12/14,WN,19393,WN,N962WN,512,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,12,6,4,2012/12/6,FL,20437,FL,N928AT,516,14635,1463502,31714,RSW,"Fort Myers, FL",FL,12,Florida,33
2012,4,12,17,1,2012/12/17,DL,19790,DL,N360NW,521,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36
2012,4,11,1,4,2012/11/1,AA,19805,AA,N502AA,522,11298,1129803,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
2012,4,12,31,1,2012/12/31,B6,20409,B6,N615JB,523,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,3,1,2012/12/3,B6,20409,B6,N613JB,524,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33
2012,4,12,5,3,2012/12/5,WN,19393,WN,N484WN,525,12191,1219102,31453,HOU,"Houston, TX",TX,48,Texas,74
2012,4,11,22,4,2012/11/22,AA,19805,AA,N3BJAA,526,13495,1349502,33495,MSY,"New Orleans, LA",LA,22,Louisiana,72
2012,4,12,31,1,2012/12/31,B6,20409,B6,N516JB,527,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,27,4,2012/12/27,AA,19805,AA,N3HDAA,528,14679,1467903,33570,SAN,"San Diego, CA",CA,6,California,91
2012,4,11,29,4,2012/11/29,AA,19805,AA,N625AA,530,13303,1330303,32467,MIA,"Miami, FL",FL,12,Florida,33
2012,4,12,4,2,2012/12/4,WN,19393,WN,N255WN,531,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85
2012,4,11,8,4,2012/11/8,AA,19805,AA,N3HHAA,532,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
2012,4,12,12,3,2012/12/12,WN,19393,WN,N707SA,534,14831,1483103,32457,SJC,"San Jose, CA",CA,6,California,91
2012,4,12,3,1,2012/12/3,B6,20409,B6,N595JB,537,11618,1161802,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21
2012,4,12,25,2,2012/12/25,UA,19977,UA,N528UA,538,11278,1127802,30852,DCA,"Washington, DC",VA,51,Virginia,38
2012,4,12,17,1,2012/12/17,DL,19790,DL,N386DA,541,12478,1247802,31703,JFK,"New York, NY",NY,36,New York,22
2012,4,12,9,7,2012/12/9,UA,19977,UA,N809UA,542,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13
2012,4,12,1,6,2012/12/1,UA,19977,UA,N489UA,543,14771,1477101,32457,SFO,"San Francisco, CA",CA,6,California,91
2012,4,12,23,7,2012/12/23,US,20355,US,N837AW,544,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91
