Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID
2012,4,12,18,2,2012/12/18,AA,19805,AA,N5ECAA,202,12892
2012,4,12,11,2,2012/12/11,VX,21171,VX,N841VA,204,14771
2012,4,12,6,4,2012/12/6,AA,19805,AA,N5DXAA,205,13204
2012,4,12,6,4,2012/12/6,WN,19393,WN,N763SW,208,13232
2012,4,12,12,3,2012/12/12,US,20355,US,N803AW,209,14107
2012,4,12,24,1,2012/12/24,FL,20437,FL,N240AT,211,10821
2012,4,12,12,3,2012/12/12,UA,19977,UA,N768UA,219,12266
2012,4,12,29,6,2012/12/29,US,20355,US,N658AW,220,14107
2012,4,12,24,1,2012/12/24,WN,19393,WN,N925WN,221,14307
2012,4,12,15,6,2012/12/15,HA,19690,HA,N481HA,222,12173
2012,4,12,11,2,2012/12/11,WN,19393,WN,N777QC,223,12889
2012,4,12,13,4,2012/12/13,WN,19393,WN,N428WN,224,12264
2012,4,12,5,3,2012/12/5,US,20355,US,N664AW,225,10721
2012,4,12,10,1,2012/12/10,US,20355,US,N830AW,230,14107
2012,4,12,7,5,2012/12/7,US,20355,US,N626AW,231,14107
2012,4,12,29,6,2012/12/29,F9,20436,F9,N908FR,235,10693
2012,4,12,23,7,2012/12/23,HA,19690,HA,N476HA,240,12982
2012,4,12,2,7,2012/12/2,FL,20437,FL,N988AT,244,11057
2012,4,12,4,2,2012/12/4,AS,19930,AS,N527AS,245,12892
2012,4,12,5,3,2012/12/5,F9,20436,F9,N934FR,246,11292
2012,4,12,6,4,2012/12/6,AA,19805,AA,N5FCAA,247,12892
2012,4,12,24,1,2012/12/24,VX,21171,VX,N848VA,251,12889
2012,4,12,7,5,2012/12/7,B6,20409,B6,N613JB,252,11298
2012,4,12,24,1,2012/12/24,F9,20436,F9,N914FR,253,11986
2012,4,12,26,3,2012/12/26,US,20355,US,N648AW,254,14107
2012,4,12,28,5,2012/12/28,WN,19393,WN,N928WN,256,11259
2012,4,12,10,1,2012/12/10,AA,19805,AA,N3HXAA,257,12478
2012,4,12,10,1,2012/12/10,F9,20436,F9,N930FR,258,11292
2012,4,12,27,4,2012/12/27,UA,19977,UA,N451UA,260,12264
2012,4,12,23,7,2012/12/23,F9,20436,F9,N926FR,263,14908
2012,4,12,20,4,2012/12/20,WN,19393,WN,N620SW,264,14831
2012,4,11,14,3,2012/11/14,AA,19805,AA,N5ERAA,265,12892
2012,4,12,30,7,2012/12/30,F9,20436,F9,N924FR,266,11292
2012,4,12,1,6,2012/12/1,HA,19690,HA,N478HA,267,12758
2012,4,11,26,1,2012/11/26,AA,19805,AA,N3FAAA,268,14747
2012,4,12,17,1,2012/12/17,UA,19977,UA,N418UA,269,13204
2012,4,12,17,1,2012/12/17,UA,19977,UA,N811UA,270,13487
2012,4,12,6,4,2012/12/6,US,20355,US,N832AW,277,14107
2012,4,12,14,5,2012/12/14,WN,19393,WN,N636WN,278,10821
2012,4,12,21,5,2012/12/21,US,20355,US,N822AW,282,14107
2012,4,12,5,3,2012/12/5,UA,19977,UA,N850UA,283,13930
2012,4,12,13,4,2012/12/13,AA,19805,AA,N5DHAA,285,12892
2012,4,12,25,2,2012/12/25,WN,19393,WN,N205WN,286,12191
2012,4,12,17,1,2012/12/17,US,20355,US,N830AW,287,13198
2012,4,12,19,3,2012/12/19,UA,19977,UA,N470UA,288,13930
2012,4,12,30,7,2012/12/30,B6,20409,B6,N784JB,296,12954
2012,4,11,16,5,2012/11/16,AA,19805,AA,N5DFAA,297,12892
2012,4,12,2,7,2012/12/2,US,20355,US,N534UW,300,14107
2012,4,12,12,3,2012/12/12,WN,19393,WN,N401WN,301,14869
2012,4,12,20,4,2012/12/20,AS,19930,AS,N791AS,302,14771
2012,4,12,16,7,2012/12/16,WN,19393,WN,N7704B,303,12889
