Fulfilment,Sales Channel ,ship-service-level,SKU,Qty,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,J0281-SKD-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3468-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE1233-BLUE-KR-031-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567-KR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3787-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3546-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET218-KR-NP-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3697-KR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0348-SET-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET281-KR-PP-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET285-KR-SHA-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE2270-KR-N-6XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3620-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3487-KR-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293-KR-NP-XS,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3454-KR-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2100-KR-144-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0402-DR-XXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2014-KR-178-XXXL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-S,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XL,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0088-TP-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3645-TP-N-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-L,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5016-KR-M,1,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0127-SKD-XL,1,INR,IN,Easy Ship,False
