Fulfilment,Sales Channel ,ship-service-level,SKU,currency,ship-country,fulfilled-by,Unnamed: 22
Merchant,Amazon.in,Standard,JNE3403-KR-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3665-TP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET343-KR-NP-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3568-KR-N-5XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3790-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3674-TU-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3468-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE3291-KR-4XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0418-TP-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,AN213-BROWN-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET333-KR-DPT-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3904-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3764-KR-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293-KR-NP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3265-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0148-SET-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-A-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0236-SKD-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3800-KR-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0280-SKD-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET320-KR-NP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET306-KR-PP-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0281-SKD-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3468-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE1233-BLUE-KR-031-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3567-KR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3787-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3546-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3861-DR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET218-KR-NP-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3697-KR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0348-SET-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET281-KR-PP-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET285-KR-SHA-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,PJNE2270-KR-N-6XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3797-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3620-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3487-KR-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET293-KR-NP-XS,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3454-KR-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2100-KR-144-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0402-DR-XXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE2014-KR-178-XXXL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET327-KR-DPT-S,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3869-DR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0157-DR-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0088-TP-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,JNE3645-TP-N-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,SET183-KR-DH-L,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,MEN5016-KR-M,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0127-SKD-XL,INR,IN,Easy Ship,False
Merchant,Amazon.in,Standard,J0373-KR-S,INR,IN,Easy Ship,False
