index,Fulfilment,Sales Channel ,ship-service-level,currency,ship-country,fulfilled-by,Unnamed: 22
50221,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50222,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50228,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50234,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50248,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50249,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50255,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50260,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50267,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50268,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50278,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50282,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50287,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50290,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50293,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50301,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50302,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50312,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50314,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50320,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50325,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50327,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50331,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50335,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50337,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50341,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50342,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50343,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50346,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50348,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50349,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50362,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50364,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50369,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50372,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50376,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50377,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50382,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50387,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
50392,Merchant,Amazon.in,Standard,INR,IN,Easy Ship,False
